TransactionId;UserId;Product SKU;Purchase
32435;117;1;1
32436;73;7;1
32437;522;8;1
32438;284;5;1
32439;633;2;1
32440;767;2;1
32441;643;6;1
32442;488;8;1
32443;682;3;1
32444;98;10;1
32445;317;2;1
32446;923;1;1
32447;473;2;1
32448;417;3;1
32449;304;1;1
32450;755;2;1
32451;918;2;1
32452;529;2;1
32453;354;6;1
32454;597;3;1
32455;59;3;1
32456;209;3;1
32457;992;1;1
32458;365;3;1
32459;327;1;1
32460;599;1;1
32461;180;3;1
32462;931;1;1
32463;863;1;1
32464;694;7;1
32465;679;3;1
32466;882;2;1
32467;487;1;1
32468;95;9;1
32469;624;6;1
32470;385;2;1
32471;633;2;1
32472;367;2;1
32473;316;4;1
32474;305;2;1
32475;274;2;1
32476;570;2;1
32477;897;3;1
32478;366;6;1
32479;942;6;1
32480;898;8;1
32481;178;7;1
32482;207;3;1
32483;196;1;1
32484;368;8;1
32485;851;3;1
32486;899;2;1
32487;783;8;1
32488;424;10;1
32489;324;5;1
32490;533;3;1
32491;592;3;1
32492;811;6;1
32493;417;3;1
32494;1000;6;1
32495;810;3;1
32496;961;2;1
32497;157;1;1
32498;359;1;1
32499;488;9;1
32500;196;1;1
32501;847;2;1
32502;950;2;1
32503;755;2;1
32504;97;5;1
32505;260;3;1
32506;194;1;1
32507;787;2;1
32508;513;2;1
32509;673;8;1
32510;454;3;1
32511;172;6;1
32512;316;2;1
32513;505;4;1
32514;805;2;1
32515;749;3;1
32516;826;1;1
32517;533;10;1
32518;725;4;1
32519;409;10;1
32520;137;10;1
32521;595;7;1
32522;1;2;1
32523;48;1;1
32524;806;8;1
32525;465;2;1
32526;433;3;1
32527;193;1;1
32528;552;2;1
32529;80;3;1
32530;10;1;1
32531;46;2;1
32532;60;2;1
32533;998;8;1
32534;322;2;1
32535;461;7;1
32536;526;1;1
32537;464;1;1
32538;744;10;1
32539;179;1;1
32540;916;10;1
32541;322;1;1
32542;21;1;1
32543;272;7;1
32544;719;10;1
32545;112;5;1
32546;778;5;1
32547;165;3;1
32548;919;1;1
32549;946;2;1
32550;18;4;1
32551;831;3;1
32552;145;1;1
32553;675;1;1
32554;108;4;1
32555;326;2;1
32556;6;5;1
32557;807;3;1
32558;820;1;1
32559;299;8;1
32560;980;9;1
32561;236;1;1
32562;145;4;1
32563;317;3;1
32564;6;2;1
32565;431;1;1
32566;275;4;1
32567;686;7;1
32568;538;1;1
32569;64;2;1
32570;926;3;1
32571;166;1;1
32572;491;7;1
32573;106;10;1
32574;116;6;1
32575;422;9;1
32576;700;9;1
32577;573;10;1
32578;667;2;1
32579;433;3;1
32580;347;4;1
32581;196;1;1
32582;681;3;1
32583;574;7;1
32584;962;1;1
32585;456;4;1
32586;672;3;1
32587;281;2;1
32588;483;1;1
32589;31;2;1
32590;881;2;1
32591;915;3;1
32592;406;1;1
32593;740;5;1
32594;567;10;1
32595;146;2;1
32596;731;2;1
32597;137;1;1
32598;928;6;1
32599;71;3;1
32600;477;5;1
32601;330;1;1
32602;465;1;1
32603;943;10;1
32604;895;10;1
32605;396;3;1
32606;314;4;1
32607;929;9;1
32608;256;7;1
32609;577;4;1
32610;375;1;1
32611;888;2;1
32612;730;3;1
32613;424;1;1
32614;657;4;1
32615;78;10;1
32616;428;9;1
32617;249;3;1
32618;641;3;1
32619;526;1;1
32620;131;2;1
32621;54;3;1
32622;864;1;1
32623;974;10;1
32624;100;10;1
32625;987;1;1
32626;594;3;1
32627;523;2;1
32628;683;10;1
32629;819;1;1
32630;284;9;1
32631;534;10;1
32632;409;3;1
32633;722;2;1
32634;337;8;1
32635;356;1;1
32636;528;2;1
32637;372;2;1
32638;596;3;1
32639;484;4;1
32640;326;3;1
32641;47;3;1
32642;563;10;1
32643;502;1;1
32644;503;2;1
32645;803;3;1
32646;548;3;1
32647;154;6;1
32648;97;1;1
32649;148;3;1
32650;244;1;1
32651;523;3;1
32652;351;9;1
32653;511;9;1
32654;703;3;1
32655;107;3;1
32656;322;4;1
32657;829;3;1
32658;999;6;1
32659;671;4;1
32660;802;3;1
32661;551;3;1
32662;234;3;1
32663;673;3;1
32664;801;3;1
32665;393;7;1
32666;678;2;1
32667;913;1;1
32668;552;1;1
32669;830;5;1
32670;492;2;1
32671;929;3;1
32672;491;3;1
32673;567;5;1
32674;56;2;1
32675;450;10;1
32676;625;6;1
32677;72;1;1
32678;356;5;1
32679;544;10;1
32680;402;2;1
32681;858;5;1
32682;872;3;1
32683;870;2;1
32684;11;3;1
32685;545;3;1
32686;692;2;1
32687;135;6;1
32688;736;9;1
32689;294;3;1
32690;678;6;1
32691;30;10;1
32692;328;4;1
32693;224;3;1
32694;907;3;1
32695;884;3;1
32696;151;6;1
32697;868;1;1
32698;387;7;1
32699;552;1;1
32700;64;3;1
32701;673;2;1
32702;370;2;1
32703;542;1;1
32704;766;2;1
32705;333;8;1
32706;454;3;1
32707;924;7;1
32708;436;2;1
32709;851;5;1
32710;281;10;1
32711;223;7;1
32712;775;8;1
32713;286;1;1
32714;618;3;1
32715;305;5;1
32716;859;6;1
32717;646;2;1
32718;23;2;1
32719;999;3;1
32720;581;2;1
32721;559;10;1
32722;498;1;1
32723;11;4;1
32724;982;2;1
32725;172;2;1
32726;43;2;1
32727;396;2;1
32728;37;3;1
32729;238;1;1
32730;75;5;1
32731;376;2;1
32732;106;7;1
32733;11;9;1
32734;908;2;1
32735;356;2;1
32736;400;1;1
32737;220;2;1
32738;452;3;1
32739;50;3;1
32740;127;4;1
32741;252;3;1
32742;949;3;1
32743;12;6;1
32744;716;5;1
32745;951;1;1
32746;459;7;1
32747;527;3;1
32748;395;1;1
32749;382;3;1
32750;782;3;1
32751;474;2;1
32752;744;8;1
32753;998;3;1
32754;500;2;1
32755;866;1;1
32756;964;3;1
32757;612;3;1
32758;889;2;1
32759;352;3;1
32760;124;3;1
32761;746;1;1
32762;283;2;1
32763;902;2;1
32764;451;7;1
32765;421;2;1
32766;579;5;1
32767;374;5;1
32768;639;8;1
32769;617;3;1
32770;209;8;1
32771;778;2;1
32772;913;7;1
32773;849;3;1
32774;269;3;1
32775;941;2;1
32776;289;3;1
32777;234;2;1
32778;552;8;1
32779;261;3;1
32780;365;3;1
32781;582;2;1
32782;246;1;1
32783;971;2;1
32784;502;5;1
32785;210;3;1
32786;133;1;1
32787;362;5;1
32788;974;6;1
32789;237;3;1
32790;444;8;1
32791;355;2;1
32792;736;1;1
32793;813;7;1
32794;80;4;1
32795;475;2;1
32796;539;8;1
32797;103;3;1
32798;537;1;1
32799;481;4;1
32800;453;1;1
32801;184;1;1
32802;202;4;1
32803;964;6;1
32804;464;3;1
32805;559;1;1
32806;187;6;1
32807;172;5;1
32808;479;9;1
32809;934;2;1
32810;694;4;1
32811;53;4;1
32812;967;2;1
32813;720;8;1
32814;965;3;1
32815;200;2;1
32816;546;1;1
32817;814;3;1
32818;299;7;1
32819;73;5;1
32820;786;3;1
32821;615;3;1
32822;950;9;1
32823;188;8;1
32824;789;10;1
32825;818;3;1
32826;7;4;1
32827;771;1;1
32828;308;3;1
32829;920;1;1
32830;709;1;1
32831;668;1;1
32832;342;8;1
32833;284;3;1
32834;329;6;1
32835;191;3;1
32836;3;4;1
32837;604;3;1
32838;72;9;1
32839;391;2;1
32840;801;2;1
32841;103;3;1
32842;557;1;1
32843;807;9;1
32844;331;5;1
32845;557;10;1
32846;956;1;1
32847;548;1;1
32848;689;2;1
32849;869;6;1
32850;880;1;1
32851;611;5;1
32852;777;3;1
32853;421;3;1
32854;603;2;1
32855;568;2;1
32856;227;2;1
32857;80;3;1
32858;543;8;1
32859;153;6;1
32860;705;1;1
32861;293;7;1
32862;563;3;1
32863;920;9;1
32864;21;3;1
32865;916;6;1
32866;80;1;1
32867;28;7;1
32868;634;2;1
32869;853;10;1
32870;586;10;1
32871;321;2;1
32872;685;7;1
32873;394;9;1
32874;536;10;1
32875;609;2;1
32876;851;1;1
32877;239;2;1
32878;939;3;1
32879;197;2;1
32880;338;2;1
32881;497;2;1
32882;744;2;1
32883;338;2;1
32884;616;2;1
32885;366;3;1
32886;276;2;1
32887;756;10;1
32888;15;2;1
32889;267;1;1
32890;119;1;1
32891;527;4;1
32892;54;1;1
32893;576;3;1
32894;166;4;1
32895;128;1;1
32896;972;2;1
32897;569;3;1
32898;872;2;1
32899;589;5;1
32900;130;6;1
32901;622;6;1
32902;216;1;1
32903;918;7;1
32904;698;1;1
32905;948;1;1
32906;400;2;1
32907;439;1;1
32908;459;2;1
32909;390;8;1
32910;722;10;1
32911;409;7;1
32912;926;7;1
32913;956;4;1
32914;175;1;1
32915;292;6;1
32916;459;8;1
32917;254;1;1
32918;820;3;1
32919;253;3;1
32920;888;8;1
32921;584;9;1
32922;66;3;1
32923;118;2;1
32924;638;1;1
32925;955;5;1
32926;38;3;1
32927;250;1;1
32928;570;5;1
32929;664;1;1
32930;16;3;1
32931;733;7;1
32932;427;3;1
32933;359;3;1
32934;887;1;1
32935;607;3;1
32936;573;1;1
32937;358;5;1
32938;186;1;1
32939;174;5;1
32940;851;1;1
32941;693;2;1
32942;470;7;1
32943;41;5;1
32944;31;9;1
32945;11;3;1
32946;332;8;1
32947;479;4;1
32948;228;3;1
32949;595;2;1
32950;685;2;1
32951;765;7;1
32952;928;1;1
32953;150;3;1
32954;491;4;1
32955;585;10;1
32956;537;7;1
32957;148;3;1
32958;571;7;1
32959;201;3;1
32960;454;2;1
32961;697;7;1
32962;766;2;1
32963;145;2;1
32964;529;3;1
32965;302;1;1
32966;75;1;1
32967;728;2;1
32968;499;2;1
32969;355;3;1
32970;14;2;1
32971;938;6;1
32972;170;9;1
32973;875;2;1
32974;133;10;1
32975;406;1;1
32976;189;1;1
32977;198;2;1
32978;437;3;1
32979;675;6;1
32980;514;3;1
32981;875;1;1
32982;703;1;1
32983;82;2;1
32984;827;3;1
32985;550;1;1
32986;768;7;1
32987;185;2;1
32988;937;2;1
32989;392;3;1
32990;231;2;1
32991;160;7;1
32992;820;6;1
32993;853;6;1
32994;724;8;1
32995;630;3;1
32996;780;1;1
32997;505;6;1
32998;34;1;1
32999;396;2;1
33000;505;3;1
33001;787;2;1
33002;102;3;1
33003;25;1;1
33004;876;7;1
33005;679;2;1
33006;334;1;1
33007;922;5;1
33008;639;3;1
33009;676;2;1
33010;8;3;1
33011;740;5;1
33012;189;3;1
33013;440;6;1
33014;25;3;1
33015;898;2;1
33016;354;3;1
33017;41;4;1
33018;247;10;1
33019;69;2;1
33020;687;8;1
33021;505;1;1
33022;422;9;1
33023;336;2;1
33024;410;5;1
33025;725;2;1
33026;902;1;1
33027;856;3;1
33028;654;3;1
33029;69;6;1
33030;759;3;1
33031;529;3;1
33032;842;3;1
33033;682;10;1
33034;498;1;1
33035;646;3;1
33036;342;3;1
33037;160;3;1
33038;135;2;1
33039;64;5;1
33040;869;2;1
